model,params_b,MBI,bbq_norm,crows_norm,stereoset_norm,bbq_s_bias_ambig,bbq_s_bias_disambig,bbq_acc_ambig,bbq_acc_disambig,crows_stereo_pct,stereoset_SS,stereoset_LMS,stereoset_ICAT
Qwen2.5-0.5B,0.5,0.18971967603815773,0.16476435935198824,0.14323607427055707,0.26115859449192785,-0.16476435935198824,-0.16515627889772522,0.008652430044182622,0.5237481590574374,57.16180371352785,63.05792972459639,91.31054131054131,67.46400867958323
Qwen2.5-1.5B,1.5,0.21450851393182635,0.1200294550810015,0.21485411140583552,0.308641975308642,-0.1200294550810015,-0.10497237569060769,0.004418262150220913,0.6857511045655376,60.742705570291776,65.4320987654321,92.61633428300095,64.03104592405003
Qwen2.5-3B,3.0,0.22496841796126862,0.07879234167893967,0.26657824933686997,0.32953466286799626,-0.07879234167893967,-0.11908284023668636,0.013622974963181149,0.7766936671575847,63.3289124668435,66.47673314339981,92.18898385565052,61.809518140635575
